Date	VTI
2016-09-06	112.599998
2016-09-07	112.75
2016-09-08	112.459999
2016-09-09	109.660004
2016-09-12	111.190002
2016-09-13	108.91999799999999
2016-09-14	108.93
2016-09-15	110.050003
2016-09-16	109.610001
2016-09-19	109.769997
2016-09-20	109.720001
2016-09-21	110.980003
2016-09-22	111.790001
2016-09-23	111.150002
2016-09-26	110.269997
2016-09-27	110.900002
2016-09-28	111.550003
2016-09-29	110.459999
2016-09-30	111.33000200000001
2016-10-03	110.989998
2016-10-04	110.489998
2016-10-05	110.91999799999999
2016-10-06	110.959999
2016-10-07	110.540001
2016-10-10	111.139999
2016-10-11	109.660004
2016-10-12	109.790001
2016-10-13	109.400002
2016-10-14	109.370003
2016-10-17	109.059998
2016-10-18	109.699997
2016-10-19	110.050003
2016-10-20	109.839996
2016-10-21	109.800003
2016-10-24	110.349998
2016-10-25	109.879997
2016-10-26	109.550003
2016-10-27	109.18
2016-10-28	108.82
2016-10-31	108.889999
2016-11-01	108.08000200000001
2016-11-02	107.33000200000001
2016-11-03	106.860001
2016-11-04	106.790001
2016-11-07	109.150002
2016-11-08	109.620003
2016-11-09	110.980003
2016-11-10	111.370003
2016-11-11	111.410004
2016-11-14	111.699997
2016-11-15	112.57
2016-11-16	112.410004
2016-11-17	112.980003
2016-11-18	112.769997
2016-11-21	113.620003
2016-11-22	113.949997
2016-11-23	114.110001
2016-11-25	114.550003
2016-11-28	113.889999
2016-11-29	114.050003
2016-11-30	113.779999
2016-12-01	113.309998
2016-12-02	113.309998
2016-12-05	114.099998
2016-12-06	114.68
2016-12-07	116.099998
2016-12-08	116.519997
2016-12-09	117.150002
2016-12-12	116.849998
2016-12-13	117.529999
2016-12-14	116.470001
2016-12-15	116.949997
2016-12-16	116.769997
2016-12-19	117.099998
2016-12-20	116.870003
2016-12-21	116.540001
2016-12-22	116.239998
2016-12-23	116.41999799999999
2016-12-27	116.709999
2016-12-28	115.739998
2016-12-29	115.75
2016-12-30	115.32
2017-01-03	116.199997
2017-01-04	117.089996
2017-01-05	116.860001
2017-01-06	117.230003
2017-01-09	116.779999
2017-01-10	116.870003
2017-01-11	117.239998
2017-01-12	116.93
2017-01-13	117.220001
2017-01-17	116.699997
2017-01-18	116.970001
2017-01-19	116.510002
2017-01-20	116.910004
2017-01-23	116.599998
2017-01-24	117.510002
2017-01-25	118.519997
2017-01-26	118.349998
2017-01-27	118.160004
2017-01-30	117.360001
2017-01-31	117.459999
2017-02-01	117.449997
2017-02-02	117.529999
2017-02-03	118.41999799999999
2017-02-06	118.139999
2017-02-07	118.129997
2017-02-08	118.260002
2017-02-09	119.040001
2017-02-10	119.540001
2017-02-13	120.139999
2017-02-14	120.58000200000001
2017-02-15	121.239998
2017-02-16	121.129997
